"origem","destino","mb_antes","mb_depois"
"publications/articles/2016_Power_System_Smart.pdf","https://cdn.nipscern.com/publications/2016-power-system-smart.pdf","2.3","1"
"publications/articles/2020_Performance_Evaluation_of_Energy.pdf","https://cdn.nipscern.com/publications/2020-performance-evaluation-of-energy.pdf","0.3","0.2"
"publications/articles/2025_Online_Pulse_Compensation.pdf","https://cdn.nipscern.com/publications/2025-online-pulse-compensation.pdf","2","0.6"
"publications/articles/2026_Multi-Memory_Approach.pdf","https://cdn.nipscern.com/publications/2026-multi-memory-approach.pdf","2","0.5"
"publications/articles/ACAT_2007_A_Matched_Filter.pdf","https://cdn.nipscern.com/publications/acat-2007-a-matched-filter.pdf","0.6","0.3"
"publications/articles/ACAT_2007_A_ROOT_Tool.pdf","https://cdn.nipscern.com/publications/acat-2007-a-root-tool.pdf","0.6","0.5"
"publications/articles/ACAT_2008_Combining_Hough_Transform.pdf","https://cdn.nipscern.com/publications/acat-2008-combining-hough-transform.pdf","2.5","0.5"
"publications/articles/CBA_2008_Detecção_de_Raios_Cósmicos.pdf","https://cdn.nipscern.com/publications/cba-2008-deteccao-de-raios-cosmicos.pdf","1.6","0.4"
"publications/articles/CBA_2010_Sistema_Detector.pdf","https://cdn.nipscern.com/publications/cba-2010-sistema-detector.pdf","0.9","0.5"
"publications/articles/CBA_2012_Implementação_em_FPGA.pdf","https://cdn.nipscern.com/publications/cba-2012-implementacao-em-fpga.pdf","0.5","0.2"
"publications/articles/CBA_2012_Projeto_Sistema_de_Detecção.pdf","https://cdn.nipscern.com/publications/cba-2012-projeto-sistema-de-deteccao.pdf","1.3","0.2"
"publications/articles/CBA_2014_Implementação_em_FPGA.pdf","https://cdn.nipscern.com/publications/cba-2014-implementacao-em-fpga.pdf","0.6","0.4"
"publications/articles/CBA_2014_Método_de_Reamostragem.pdf","https://cdn.nipscern.com/publications/cba-2014-metodo-de-reamostragem.pdf","1","0.2"
"publications/articles/CBA_2014_Reconstrução_Online.pdf","https://cdn.nipscern.com/publications/cba-2014-reconstrucao-online.pdf","2.2","0.3"
"publications/articles/CBA_2014_Sistema_Digital.pdf","https://cdn.nipscern.com/publications/cba-2014-sistema-digital.pdf","0.6","0.4"
"publications/articles/CBA_2016_Detecção_de_Sinal.pdf","https://cdn.nipscern.com/publications/cba-2016-deteccao-de-sinal.pdf","0.9","0.2"
"publications/articles/CBA_2016_Estimativa_de_energia.pdf","https://cdn.nipscern.com/publications/cba-2016-estimativa-de-energia.pdf","0.7","0.2"
"publications/articles/CBA_2016_Sistema_para_Redução.pdf","https://cdn.nipscern.com/publications/cba-2016-sistema-para-reducao.pdf","1.1","0.2"
"publications/articles/CBA_2016_Técnicas_de_Deconvolução.pdf","https://cdn.nipscern.com/publications/cba-2016-tecnicas-de-deconvolucao.pdf","4.4","0.2"
"publications/articles/CBA_2018_Implementação_de_Circuitos.pdf","https://cdn.nipscern.com/publications/cba-2018-implementacao-de-circuitos.pdf","0.5","0.3"
"publications/articles/CBA_2020_Arquitetura_Multi-Core.pdf","https://cdn.nipscern.com/publications/cba-2020-arquitetura-multi-core.pdf","1.8","0.4"
"publications/articles/CBA_2020_Desempenho_de_Algoritmos.pdf","https://cdn.nipscern.com/publications/cba-2020-desempenho-de-algoritmos.pdf","0.6","0.2"
"publications/articles/CBA_2022_Self-Organizing.pdf","https://cdn.nipscern.com/publications/cba-2022-self-organizing.pdf","1.9","0.5"
"publications/articles/CBA_2024_Análise_de_Influência.pdf","https://cdn.nipscern.com/publications/cba-2024-analise-de-influencia.pdf","2.4","0.2"
"publications/articles/CBA_2024_Avanços_na_Estimação.pdf","https://cdn.nipscern.com/publications/cba-2024-avancos-na-estimacao.pdf","2.4","0.4"
"publications/articles/CBA_2024_Estudo_de_um_Método.pdf","https://cdn.nipscern.com/publications/cba-2024-estudo-de-um-metodo.pdf","0.6","0.2"
"publications/articles/CBA_2026_AURORA_Compilação_e_Simulação.pdf","https://cdn.nipscern.com/publications/cba-2026-aurora-compilacao-e-simulacao.pdf","0.8","0.3"
"publications/articles/CBA_2026_Modernização_do_CGV.pdf","https://cdn.nipscern.com/publications/cba-2026-modernizacao-do-cgv.pdf","3.4","0.3"
"publications/articles/CBIC_2015_Correção_Não_Linear.pdf","https://cdn.nipscern.com/publications/cbic-2015-correcao-nao-linear.pdf","0.2","0.1"
"publications/articles/CBIC_2021_Estimativa_de_Energia.pdf","https://cdn.nipscern.com/publications/cbic-2021-estimativa-de-energia.pdf","0.7","0.4"
"publications/articles/CBIC_2023_Filtragem_online.pdf","https://cdn.nipscern.com/publications/cbic-2023-filtragem-online.pdf","3.1","0.1"
"publications/articles/CBIC_2023_Modelos_Lineares.pdf","https://cdn.nipscern.com/publications/cbic-2023-modelos-lineares.pdf","0.4","0.1"
"publications/articles/CBIC_2025_Redes_Neurais_Convolucionais.pdf","https://cdn.nipscern.com/publications/cbic-2025-redes-neurais-convolucionais.pdf","1.7","0.4"
"publications/articles/CBIC_2025_Redes_Neurais_para_Classificação.pdf","https://cdn.nipscern.com/publications/cbic-2025-redes-neurais-para-classificacao.pdf","0.3","0.1"
"publications/articles/CBQEE_2017_Implementação_em_FPGA.pdf","https://cdn.nipscern.com/publications/cbqee-2017-implementacao-em-fpga.pdf","3.6","0.4"
"publications/articles/CPC_2012_Three_dimensional_event.pdf","https://cdn.nipscern.com/publications/cpc-2012-three-dimensional-event.pdf","1.7","1.7"
"publications/articles/DOUT_2016_Leandro_Manso.pdf","https://cdn.nipscern.com/publications/dout-2016-leandro-manso.pdf","2.7","1.4"
"publications/articles/DOUT_2017_Davis_Pereira.pdf","https://cdn.nipscern.com/publications/dout-2017-davis-pereira.pdf","11","2.4"
"publications/articles/DOUT_2019_João_Paulo_Bittencourt.pdf","https://cdn.nipscern.com/publications/dout-2019-joao-paulo-bittencourt.pdf","20","6.3"
"publications/articles/DOUT_2021_Dayane_Oliveira.pdf","https://cdn.nipscern.com/publications/dout-2021-dayane-oliveira.pdf","16.1","16.1"
"publications/articles/DOUT_2021_Tiago_Aparecido_Teixeira.pdf","https://cdn.nipscern.com/publications/dout-2021-tiago-aparecido-teixeira.pdf","9","9"
"publications/articles/DOUT_2022_Tiago_Motta_Quirino.pdf","https://cdn.nipscern.com/publications/dout-2022-tiago-motta-quirino.pdf","5","2.3"
"publications/articles/DOUT_2026_Thiago_Campos.pdf","https://cdn.nipscern.com/publications/dout-2026-thiago-campos.pdf","10.1","1.2"
"publications/articles/ENEMC_2017_Energy_Estimation.pdf","https://cdn.nipscern.com/publications/enemc-2017-energy-estimation.pdf","0.4","0.3"
"publications/articles/ENEMC_2023_Aplicação_de_Filtros.pdf","https://cdn.nipscern.com/publications/enemc-2023-aplicacao-de-filtros.pdf","2.3","0.6"
"publications/articles/ENEMC_2023_Qualidade_de_Dados.pdf","https://cdn.nipscern.com/publications/enemc-2023-qualidade-de-dados.pdf","0.8","0.3"
"publications/articles/ENEMC_2024_Método_Iterativo.pdf","https://cdn.nipscern.com/publications/enemc-2024-metodo-iterativo.pdf","0.6","0.3"
"publications/articles/ENEMC_2024_Qualidade_de_Dados.pdf","https://cdn.nipscern.com/publications/enemc-2024-qualidade-de-dados.pdf","0.8","0.3"
"publications/articles/ENEMC_2024_Real-time_FPGA-based.pdf","https://cdn.nipscern.com/publications/enemc-2024-real-time-fpga-based.pdf","2.2","0.2"
"publications/articles/ENEMC_2024_Simulation_of_the_Upgraded.pdf","https://cdn.nipscern.com/publications/enemc-2024-simulation-of-the-upgraded.pdf","9.3","0.4"
"publications/articles/ENEMC_2025_Análise_de_Variação.pdf","https://cdn.nipscern.com/publications/enemc-2025-analise-de-variacao.pdf","1.6","0.4"
"publications/articles/ENEMC_2025_Estimador_Baseado_em_ICA.pdf","https://cdn.nipscern.com/publications/enemc-2025-estimador-baseado-em-ica.pdf","2.3","0.2"
"publications/articles/ENEMC_2025_Filtragem_Inversa.pdf","https://cdn.nipscern.com/publications/enemc-2025-filtragem-inversa.pdf","0.8","0.2"
"publications/articles/ENEMC_2025_Implementação de Fractal.pdf","https://cdn.nipscern.com/publications/enemc-2025-implementacao-de-fractal.pdf","3","0.5"
"publications/articles/ENEMC_2025_Implementação_de_Funções.pdf","https://cdn.nipscern.com/publications/enemc-2025-implementacao-de-funcoes.pdf","0.5","0.2"
"publications/articles/ENEMC_2025_Simulador_de_Front-End.pdf","https://cdn.nipscern.com/publications/enemc-2025-simulador-de-front-end.pdf","0.4","0.2"
"publications/articles/ENFPC_2005_Detecção_de_Raios.pdf","https://cdn.nipscern.com/publications/enfpc-2005-deteccao-de-raios.pdf","0.7","0.2"
"publications/articles/ENMC_2018_Estimação_de_Energia.pdf","https://cdn.nipscern.com/publications/enmc-2018-estimacao-de-energia.pdf","0.3","0.2"
"publications/articles/ENMC_2019_Estimação_da_Amplitude.pdf","https://cdn.nipscern.com/publications/enmc-2019-estimacao-da-amplitude.pdf","0.4","0.2"
"publications/articles/ENMC_2019_Estimação_da_Energia.pdf","https://cdn.nipscern.com/publications/enmc-2019-estimacao-da-energia.pdf","0.8","0.5"
"publications/articles/ENMC_2019_Implementação_em_FPGA.pdf","https://cdn.nipscern.com/publications/enmc-2019-implementacao-em-fpga.pdf","1.7","0.3"
"publications/articles/ENMC_2025_Fractal.pdf","https://cdn.nipscern.com/publications/enmc-2025-fractal.pdf","3","0.5"
"publications/articles/ICESC_2008_Cosmic_Ray_Detection.pdf","https://cdn.nipscern.com/publications/icesc-2008-cosmic-ray-detection.pdf","0.9","0.2"
"publications/articles/ICHQP_2014_An_Electrical_Signal.pdf","https://cdn.nipscern.com/publications/ichqp-2014-an-electrical-signal.pdf","0.7","0.3"
"publications/articles/ICHQP_2014_Comparison_of_interpolation.pdf","https://cdn.nipscern.com/publications/ichqp-2014-comparison-of-interpolation.pdf","0.3","0.2"
"publications/articles/ICHQP_2016_A_Gapless_Waveform.pdf","https://cdn.nipscern.com/publications/ichqp-2016-a-gapless-waveform.pdf","2.9","0.2"
"publications/articles/ICHQP_2018_Implementation_of_an_Electrical.pdf","https://cdn.nipscern.com/publications/ichqp-2018-implementation-of-an-electrical.pdf","0.1","0.1"
"publications/articles/IEEE_2002_state_machine.pdf","https://cdn.nipscern.com/publications/ieee-2002-state-machine.pdf","0.5","0.3"
"publications/articles/IEEE_2005_tdc_detector.pdf","https://cdn.nipscern.com/publications/ieee-2005-tdc-detector.pdf","1.3","1.3"
"publications/articles/IEEE_2006_quality_control.pdf","https://cdn.nipscern.com/publications/ieee-2006-quality-control.pdf","0.3","0.2"
"publications/articles/IEEE_2015_Calorimeter_Response_Deconvolution.pdf","https://cdn.nipscern.com/publications/ieee-2015-calorimeter-response-deconvolution.pdf","1.3","1"
"publications/articles/IEEE_2017_Power-Quality_Disturbance_Recorder.pdf","https://cdn.nipscern.com/publications/ieee-2017-power-quality-disturbance-recorder.pdf","0.9","0.7"
"publications/articles/IEEE_2017_Sparse_Representation_for_Signal_Reconstruction.pdf","https://cdn.nipscern.com/publications/ieee-2017-sparse-representation-for-signal-reconstruction.pdf","0.8","0.5"
"publications/articles/IEEE_2017_UWB-based_PLC_Systems.pdf","https://cdn.nipscern.com/publications/ieee-2017-uwb-based-plc-systems.pdf","1","0.7"
"publications/articles/IEEE_2021_Spectral_Variation_Based_Signal.pdf","https://cdn.nipscern.com/publications/ieee-2021-spectral-variation-based-signal.pdf","5.5","3.3"
"publications/articles/IEEE_2022_Identification_of_Low_Impedance.pdf","https://cdn.nipscern.com/publications/ieee-2022-identification-of-low-impedance.pdf","2.4","0.9"
"publications/articles/IEEE_2025_A_Maximum_Likelihood.pdf","https://cdn.nipscern.com/publications/ieee-2025-a-maximum-likelihood.pdf","1.8","0.9"
"publications/articles/IEEE_2026_Learned_Soft-Thresholding.pdf","https://cdn.nipscern.com/publications/ieee-2026-learned-soft-thresholding.pdf","0.4","0.3"
"publications/articles/IEEE_2026_Soft-core_processors.pdf","https://cdn.nipscern.com/publications/ieee-2026-soft-core-processors.pdf","1.7","1.2"
"publications/articles/IJNM_2019_Sparse_representation_algorithm.pdf","https://cdn.nipscern.com/publications/ijnm-2019-sparse-representation-algorithm.pdf","1","0.8"
"publications/articles/INSCIT_2024_Application_of_Wiener.pdf","https://cdn.nipscern.com/publications/inscit-2024-application-of-wiener.pdf","0.8","0.2"
"publications/articles/INTER_2010_Optimal_Signal.pdf","https://cdn.nipscern.com/publications/inter-2010-optimal-signal.pdf","1.3","0.7"
"publications/articles/ITS_2010_A_Low-Cost.pdf","https://cdn.nipscern.com/publications/its-2010-a-low-cost.pdf","0.2","0.1"
"publications/articles/IWSSIP_2020_Novelty_Detection.pdf","https://cdn.nipscern.com/publications/iwssip-2020-novelty-detection.pdf","1.2","0.2"
"publications/articles/JCAES_2021_Linear_Equation_System_Solver_Circuit.pdf","https://cdn.nipscern.com/publications/jcaes-2021-linear-equation-system-solver-circuit.pdf","2","0.7"
"publications/articles/JCAES_2022_Performance_of_Optimal_Linear_Filtering.pdf","https://cdn.nipscern.com/publications/jcaes-2022-performance-of-optimal-linear-filtering.pdf","0.9","0.5"
"publications/articles/jCEC_2023_Probability_based_data_quality_for_energy.pdf","https://cdn.nipscern.com/publications/jcec-2023-probability-based-data-quality-for-energy.pdf","0.8","0.5"
